,HSIC_orig,HSIC_cl
1,0.012572523,0.303011712
2,0.296660085,0.885077681
3,0.029663402,0.479656049
4,0.018293762,0.30460371
5,0.056921873,0.574332902
6,0.058142942,0.569461382
7,0.045063697,0.507885793
8,0.002414923,0.109456001
9,0.007941465,0.227373574
10,0.168356364,0.827040754
11,0.013601087,0.291240599
12,0.081217363,0.651498973
13,0.037544696,0.495560571
14,0.015450273,0.287615408
15,0.03340517,0.448208908
16,0.007262555,0.19109704
17,0.118128951,0.705412864
18,0.000169654,0.008203035
19,0.016295966,0.252902792
20,0.158180764,0.778853163
21,0.050098604,0.546055358
22,0.191414649,0.814961617
23,0.061657321,0.571853755
24,0.039832536,0.494455972
25,0.008839471,0.190430747
26,0.001871169,0.080854315
27,0.19283584,0.806689249
28,0.009683921,0.231261765
29,0.016473452,0.332095935
30,0.036197961,0.485674465
31,0.008403821,0.199295485
32,0.000322018,0.020185476
33,0.174662284,0.786106643
34,0.417303388,0.933284744
35,0.002871773,0.114884652
36,0.080054258,0.615082459
37,0.03713847,0.454266542
38,0.097504045,0.719581653
39,0.038754164,0.436175145
40,0.087000138,0.675771645
41,0.105041375,0.753920912
42,0.015524309,0.375567114
43,0.13271503,0.758313875
44,0.130122538,0.762795143
45,0.057713308,0.554941928
46,0.030306672,0.423701003
47,0.024835501,0.434895942
48,0.247871019,0.857799324
49,0.105588872,0.725493423
50,0.022300129,0.40446006